# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Apr 28 12:39:52 BST 2021 [seed=1619609990114]
# -working /home/mahan/Downloads/alignment_lab/For_publication/alignments/decLC_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	external.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
16900000	-71569.53983123046	-2154.1044222056526	-69415.43540902481	1.2489041244484964	121.42591772452236	18.547333048019496	13.175911790624221	0.7587325770924378	4.573310925103536	0.28685858567934486	0.17425712705946736	0.18463499189649557	0.3542492953646959	0.08696671553288972	4.553689391150818E-4	9.135213755858194E-4	7.735308230763702E-4	0.33464932004722986	1.1266320974539327E-13	-69415.43540902481	0.0	-2147.4386674826706
17000000	-71601.9667365839	-2137.1125492744222	-69464.85418730948	1.243572514900018	118.14792968351847	18.56976117006746	10.730913464054492	0.723327880874271	4.325794297966925	0.28332628060384163	0.17501581783068532	0.1884722300661191	0.3531856714993577	0.04330508419586112	3.861447895692931E-4	9.718335802449247E-4	7.757900555022147E-4	0.4311857668773382	-4.094212132741895E-14	-69464.85418730948	0.0	-2130.7076486784536
17100000	-71520.27869988719	-2093.047836294007	-69427.23086359318	1.1315524396800123	115.92711502961168	17.21878791120087	13.236667342940308	0.7490571560282879	4.49590793551716	0.2867512118358182	0.1763173093768146	0.18191471494474398	0.3550167638426272	0.020148250783384163	4.3614491931895133E-4	9.574852466810065E-4	7.903630300740006E-4	0.37402327257495926	-6.376682040934848E-14	-69427.23086359318	0.0	-2086.616299725939
17200000	-71611.14526965933	-2140.1169182014924	-69471.02835145785	1.182709552629813	118.83939343786176	18.732286165715525	10.207329087450109	0.7100928514559338	4.663490930491916	0.28285737312714815	0.17861635364689515	0.18202688036162665	0.35649939286433446	0.06433767852777483	4.084868947723739E-4	9.521507662475501E-4	7.803131211283783E-4	0.3994822343417974	3.811314502894514E-14	-69471.02835145785	0.0	-2133.568100277246
17300000	-71570.34777717813	-2116.8995951232023	-69453.44818205493	1.1972972091353151	119.0496821758838	20.38212555328877	11.736429484206713	0.7079813360031995	4.610253351938917	0.28496016549646036	0.17731715704808845	0.18602889662162458	0.35169378083383124	0.07368783775251146	4.1552726912658013E-4	9.355938598956191E-4	7.751175246763569E-4	0.38484246395740457	1.1910956333228946E-13	-69453.44818205493	0.0	-2110.2119767810655
17400000	-71608.82512246228	-2149.1917534919344	-69459.63336897035	1.1850761933743363	120.95090206793468	17.89013851911822	13.343118849240996	0.7578866686880988	4.221560539053433	0.28787860194181575	0.17956843060051628	0.18339579464364	0.3491571728140324	0.06699962231579328	4.2718461287025373E-4	9.312575678713764E-4	7.721655815743836E-4	0.3710042663279271	5.357363483564303E-14	-69459.63336897035	0.0	-2142.743564905916
17500000	-71571.88073099278	-2095.510757580125	-69476.36997341266	1.1724663416200594	117.35075035466247	18.055391006995727	11.96773599439742	0.7190648643629529	4.453461580024415	0.2855657702601512	0.1755078457048251	0.18797412204294653	0.3509522619920818	0.0055455825676903455	4.150393611781634E-4	9.581304353338307E-4	7.843700357714923E-4	0.3954215708167544	1.1928071921304679E-14	-69476.36997341266	0.0	-2089.1419472627504
17600000	-71560.31230034326	-2072.035075629104	-69488.27722471415	1.1644660485139726	116.25592729083964	20.35143783919432	12.35563618403776	0.7100067109285595	4.563425887394232	0.28229692383028876	0.17917358354839572	0.18533760494539858	0.3531918876759212	0.08909120470248497	4.5881787511806946E-4	9.649171322612851E-4	8.076917702536452E-4	0.35542060566137146	4.29989604553794E-14	-69488.27722471415	0.0	-2065.230098663462
17700000	-71528.3562729397	-2087.6669166564857	-69440.68935628321	1.2150272916418516	117.33530730490715	21.007564024493092	12.131596770175268	0.6963886728710024	4.941281267809418	0.28612775347989416	0.17628356406183116	0.18458584926203966	0.3530028331962394	0.11275356713521997	4.5340793341470785E-4	9.519306203437886E-4	7.968361825967271E-4	0.3546830854473569	9.256153765875882E-14	-69440.68935628321	0.0	-2080.7030058637265
17800000	-71513.49710055663	-2064.544526592583	-69448.95257396405	1.1432559274473457	114.77132982239512	17.387281822611122	11.948568477775428	0.7103933335294937	4.755357717905975	0.2822948893651865	0.1782645290146485	0.18735628382649344	0.352084297793676	0.014080634462130447	4.1543667336249525E-4	9.710953577048277E-4	7.905684455069139E-4	0.4006701301668387	-3.088889839618435E-14	-69448.95257396405	0.0	-2058.1112363860275
